task_stage,branch,method,feature_type,dataset_name,dataset_size,n_clusters,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity,notes
Easy,Hybrid audio features,PCA + KMeans,,balanced_bn_en_1186,1186,2.0,0.2273215689306493,379.53537995848257,,,,,Basic VAE vs PCA baseline on balanced Bengali-English dataset
Easy,Hybrid audio features,VAE + KMeans,,balanced_bn_en_1186,1186,2.0,0.3515287935733795,745.036865234375,,,,,Basic VAE vs PCA baseline on balanced Bengali-English dataset
Medium,GTZAN Conv-VAE / spectral baseline,Agglomerative,conv_vae_mel_latent,gtzan_valid_999,999,,0.0553548149764537,,2.455751936493656,0.0794947699838272,0.1399107591913238,,GTZAN mel-spectrogram Conv-VAE and direct MFCC baseline
Medium,GTZAN Conv-VAE / spectral baseline,DBSCAN,conv_vae_mel_latent,gtzan_valid_999,999,,,,,0.0007136275434094,0.0138845875536098,,GTZAN mel-spectrogram Conv-VAE and direct MFCC baseline
Medium,GTZAN Conv-VAE / spectral baseline,Direct MFCC + KMeans,mfcc_summary_direct,gtzan_valid_999,999,,0.1263018399477005,,2.0057857371088064,0.1718169491618877,0.3049943001343657,,GTZAN mel-spectrogram Conv-VAE and direct MFCC baseline
Medium,GTZAN Conv-VAE / spectral baseline,KMeans,conv_vae_mel_latent,gtzan_valid_999,999,,0.0731891021132469,,2.1924495082292768,0.0826013196673431,0.1379604131800387,,GTZAN mel-spectrogram Conv-VAE and direct MFCC baseline
Medium,Hybrid audio + lyrics,Agglomerative,audio_plus_lyrics_latent,balanced_bn_en_1186,1186,,0.2610906,,1.3564822029948225,0.0005412965244971,,,Medium hybrid branch with fused audio and lyrics latent features
Medium,Hybrid audio + lyrics,DBSCAN,audio_plus_lyrics_latent,balanced_bn_en_1186,1186,,0.13333955,,0.8768980903425353,0.0058517284809698,,,Medium hybrid branch with fused audio and lyrics latent features
Medium,Hybrid audio + lyrics,KMeans,audio_plus_lyrics_latent,balanced_bn_en_1186,1186,,0.3023217,,1.2702211589098875,-0.0007004802486128,,,Medium hybrid branch with fused audio and lyrics latent features
Hard,Multimodal audio + lyrics + genre,Autoencoder + KMeans,audio_plus_lyrics_latent,hard_hybrid_1120,1120,14.0,0.1157943755388259,,,0.1090063376874428,0.3141400396861037,0.4455357142857143,Hard task main branch
Hard,Multimodal audio + lyrics + genre,Beta-VAE(beta=1.0) + KMeans,audio_plus_lyrics_latent,hard_hybrid_1120,1120,14.0,0.239983,,,0.122936568141082,0.2802130892086313,0.4446428571428571,Tuned Beta-VAE with beta=1.0
Hard,Multimodal audio + lyrics + genre,PCA + KMeans,audio_plus_lyrics_latent,hard_hybrid_1120,1120,14.0,0.1091350022804123,,,0.1048975891925288,0.2773466396411899,0.4464285714285714,Hard task main branch
