track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded,beta_vae_kmeans_cluster,autoencoder_kmeans_cluster,pca_kmeans_cluster,umap_1,umap_2
Aaj Ei Dintake,Kishore Kumar,bn,Bangla Film,Retro Film Melody,1,0,0,12,5,-0.5988809,5.6740355
Amar Swapna Tumi Ogo,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Duet,1,0,0,9,3,-0.8266951,7.083178
Ami Chini Go Chini Tomare,Kishore Kumar,bn,Rabindra Sangeet,Tagore Romantic,7,0,8,11,10,-1.8337997,6.66295
Purano Sei Diner,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,6,4,7,2.21508,8.15653
Aamar Pujar Phool,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,11,9,0,3.845056,8.892109
Se Jeno Aamar Pashe,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,0,0,5,-1.4180683,6.0478797
Mone Pore Ruby Roy,R. D. Burman,bn,Adhunik Bangla,Urban Nostalgia,0,0,3,8,3,-3.2086027,4.0786176
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,bn,Adhunik Bangla,Urban Nostalgia,0,0,6,7,9,1.7059639,7.464257
Sei Raate Raat Chhilo Purnima,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,6,8,7,1.5174011,7.3797593
Ei Path Jodi Na Shes Hoy,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Romantic Duet,1,0,13,8,7,-3.0094416,5.725067
Tumi Kon Kananer Phul,Asha Bhosle,bn,Rabindra Sangeet,Tagore Romantic,7,0,3,8,3,-2.998382,3.4196396
Amar Swapna Je Satyi,Kishore Kumar|Lata Mangeshkar,bn,Bangla Film,Romantic Retro,1,0,6,7,9,1.7912017,7.3574157
Nayan Sarasi Keno Bhoreche Jaale,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,8,9,12,-1.3347278,6.880488
Jodi Hoi Chorkanta,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0,8,4,7,-1.7539047,7.553295
Mon-Majhi Re,R. D. Burman,bn,Bangla Folk,Folk-inspired Modern,2,0,0,7,9,0.35895595,5.9481325
Tare Ami Chokhe Dekhini,Kishore Kumar,bn,Adhunik Bangla,Mystical Modern,0,0,3,0,12,-3.080777,3.3180408
