track_name,language,playlist_genre,playlist_subgenre,track_artist
Katha Dao Aabar Asbe,bn,Bangla Film,Romantic Playback,Manna Dey
Look What You Made Me Do,en,pop,post-teen pop,Taylor Swift
Bankroll,en,rap,gangster rap,Taz
I Just Wanna Party,en,rap,gangster rap,YG
Ami Cholte Cholte Theme Gechhi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Tung Tung Tung,bn,Adhunik Bangla,Romantic Modern,C.L.T.
Crazy On You,en,rock,hard rock,Heart
Body Language (feat. Usher & Tinashe),en,pop,post-teen pop,Kid Ink
Bojho Na Keno Je,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Side To Side - Slushii Remix,en,edm,pop edm,Ariana Grande
O Chand Samle Rakho Jochhnake,bn,Adhunik Bangla,Romantic Modern,Manna Dey
Invisible Touch - 2007 Remaster,en,rock,album rock,Genesis
Ore Mon Ke Emon Daga,bn,Bangla Film,Duet Playback,Amit Kumar|Bhupinder Singh|Mohammed Rafi|Aarti Mukherji
Starstruck,en,pop,post-teen pop,Christopher Wilde
Paye Pari Baghmama,bn,,Comic Song,Anup Ghoshal
Hey Nutan Dekha Dik Aar-Bar,bn,Rabindra Sangeet,Tagore Classic,Swagatalakshmi Dasgupta
If The World,en,rock,album rock,Guns N' Roses
Tilt,en,rock,permanent wave,Scott Walker
Shooter,en,rap,southern hip hop,Lil Wayne
Tapur Tupur Sara Dupur,bn,Bangla Film,Romantic Playback,Aarti Mukherji
Twenty Eight,en,r&b,urban contemporary,The Weeknd
MMMBop,en,rock,permanent wave,Hanson
Bhalo Jodi Baso Sakhi,bn,,Tagore Nature,Chinmoy Chatterjee
Hard 2 Love,en,rap,southern hip hop,Haystak
Aaj Milan Tithir Purnima Chand,bn,Bangla Film,Romantic Retro,Kishore Kumar
Ei Sundar Swarnali Sandhaye,bn,Bangla Film,Romantic Playback,Geeta Dutt
High And Dry,en,pop,indie poptimism,Radiohead
Love My Way,en,rock,permanent wave,The Psychedelic Furs
Better,en,pop,electropop,Khalid
Hoyto Amake Karo Mone,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar
Bhoy Dekhas Na (Male) Voice & Guitars,bn,Adhunik Bangla,Acoustic Modern,Arijit Singh
Time In,en,rap,trap,Billy Marchiafava
Divinity - filous Remix,en,pop,indie poptimism,Porter Robinson
In My Life - Remastered 2009,en,rock,classic rock,The Beatles
Me and My Downfall,en,rock,album rock,DeeExpus
Hay Go Amar Mon Mane Na,bn,Bangla Film,Romantic Playback,Asha Bhosle
The House of the Rising Sun,en,rock,hard rock,The Animals
Ei Sundar Raatri,bn,Bangla Film,Romantic Playback,Sandhya Mukherjee
Stellar,en,r&b,neo soul,Jamila Woods
Bistirna Dupare,bn,,Romantic Modern,Bhupen Hazarika
Woke Up Late (feat. Hailee Steinfeld),en,r&b,hip pop,Drax Project
Down to the River,en,rap,southern hip hop,Danny Boone
Good Stuff,en,rap,southern hip hop,UGK
Naam Amar Kishore Kumar Ganguly,bn,Adhunik Bangla,Tribute Song,Kishore Kumar
Phool Koli Re Phool Koli,bn,,Duet Playback,Kishore Kumar|Asha Bhosle
Carillon (with Achille Lauro),en,pop,dance pop,Nahaze
Stardust,en,rock,hard rock,Gemini Syndrome
Dake Loke Amake Clown,bn,Bangla Film,Romantic Playback,Kishore Kumar
The Ghost in You,en,rock,permanent wave,The Psychedelic Furs
Shaon Raate Jodi,bn,Bangla Film,Romantic Playback,Manna Dey
Ami Chini Go Chini Tomare,bn,Rabindra Sangeet,Tagore Romantic,Kishore Kumar
I Think of You,en,r&b,neo soul,Sandra Lynn
Glory Days,en,rock,classic rock,Bruce Springsteen
Keno Je Kandao Bare Bare,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Tui Ki Amar Putul Putul,bn,Children's Music,Children's Song,Manna Dey
Thursday,en,r&b,neo soul,Leven Kali
Jodi Jante Chao Tumi,bn,Bangla Film,Romantic Playback,Hemant Kumar
The Humpty Dance,en,r&b,new jack swing,Digital Underground
Phote Je Rakta Golap,bn,Bangla Film,Romantic Playback,Kishore Kumar
King Of The Ghosts Gives 3 Boons,bn,Children's Music,Fantasy Song,Satyajit Ray
Is It Good To You,en,r&b,new jack swing,Teddy Riley
"What Christmas Means to Me - from ""The Best Man Holiday Original Motion Picture Soundtrack""",en,r&b,neo soul,Fantasia
Behind Barz - Bonus,en,rap,hip hop,Drake
Aami Ekjon Saanto Sishto,bn,Bangla Film,Romantic Playback,Kishore Kumar
Applause,en,pop,post-teen pop,Lady Gaga
Dil Dariyar Majhete,bn,Bangla Folk,Baul,Purna Das Baul
Kings & Queens (feat. Run The Jewels),en,rap,gangster rap,DJ Shadow
High On Life (feat. Bonn),en,pop,dance pop,Martin Garrix
Stutter,en,pop,post-teen pop,Marianas Trench
Tumi Kon Kananer Phul,bn,Rabindra Sangeet,Tagore Romantic,Asha Bhosle
Ami Ek Jajabar,bn,Adhunik Bangla,Wanderer Song,Bhupen Hazarika
Sakhi Bhabana Kahare Bale,bn,,Tagore Romantic,Lata Mangeshkar|Kavita Krishnamurthy
Runaway,en,latin,tropical,Halcyon
O Shyam Jakhan Takhan,bn,Bangla Film,Duet Playback,Sujata Mukherjee|Aarti Mukherji
Oxygen,en,pop,post-teen pop,Maia Mitchell
Chakrita Ami Peyegechi Bela 2441139,bn,Adhunik Bangla,Romantic Modern,Anjan Dutt
Nahin Surya Nahin Jyoti,bn,Devotional,Bhajan,Anup Jalota
Bow Down,en,rock,hard rock,I Prevail
Thiago Silva,en,rap,hip hop,Dave
Tunhu Mamo Monpran Hey (Stereo),bn,Bangla Film,Romantic Playback,Sandhya Mukherjee
Se To Elo Na,bn,Bangla Film,Romantic Playback,Kishore Kumar
Electric (feat. Khalid),en,pop,indie poptimism,Alina Baraz
O Prajapati Prajapati,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
I Found You (with Calvin Harris),en,pop,dance pop,benny blanco
Dui Naukaye Diya Pa,bn,Bangla Film,Romantic Playback,Alka Yagnik
Dhoronako Shantrimoshai,bn,Children's Music,Comic Song,Anup Ghoshal
Dure Dure Kachhe Kachhe,bn,Bangla Film,Melancholy Playback,Aarti Mukherji
Jekyll and Hyde,en,rock,hard rock,Five Finger Death Punch
Ektu Baso Chole Jeo Na,bn,,Melancholy Playback,Asha Bhosle
The Same Way,en,edm,pop edm,Don Diablo
Coffee Houser Sei Addata Aaj Aar Nei,bn,Adhunik Bangla,Urban Nostalgia,Manna Dey
The Voices,en,rap,trap,dreamEater
make daddy proud,en,pop,electropop,blackbear
Used To,en,r&b,urban contemporary,Drake
Jana - Gana - Mana - Orchestra,bn,Children's Music,Comic Song,Akashvani Vadya Vrinda
Aachhey Dukkha,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas
Na Mon Lage Na,bn,Bangla Film,Romantic Retro,Lata Mangeshkar
Sei Raate Raat Chhilo Purnima,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar
40th Street Black / We Will Fight,en,rap,southern hip hop,Wu-Tang Clan
