track_name,language,playlist_genre,playlist_subgenre,track_artist,kmeans_cluster,agg_cluster,dbscan_cluster,umap_1,umap_2
Aaj Ei Dintake,bn,Bangla Film,Retro Film Melody,Kishore Kumar,0,0,0,4.769912,7.2562923
Amar Swapna Tumi Ogo,bn,Bangla Film,Romantic Duet,Asha Bhosle|Kishore Kumar,0,1,0,6.3238688,9.996453
Ami Chini Go Chini Tomare,bn,Rabindra Sangeet,Tagore Romantic,Kishore Kumar,0,0,0,5.346145,6.601719
Purano Sei Diner,bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas,1,0,0,3.3332937,8.587884
Aamar Pujar Phool,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0,4.3328376,10.0851555
Se Jeno Aamar Pashe,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,0,1,0,8.075916,9.651108
Mone Pore Ruby Roy,bn,Adhunik Bangla,Urban Nostalgia,R. D. Burman,0,1,0,7.000537,8.836203
Coffee Houser Sei Addata Aaj Aar Nei,bn,Adhunik Bangla,Urban Nostalgia,Manna Dey,1,0,0,1.4446068,10.180277
Sei Raate Raat Chhilo Purnima,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0,2.561269,8.42211
Ei Path Jodi Na Shes Hoy,bn,Bangla Film,Romantic Duet,Sandhya Mukherjee|Hemant Kumar,1,0,0,1.1028012,6.974005
Tumi Kon Kananer Phul,bn,Rabindra Sangeet,Tagore Romantic,Asha Bhosle,0,1,0,6.9694834,8.857694
Amar Swapna Je Satyi,bn,Bangla Film,Romantic Retro,Kishore Kumar|Lata Mangeshkar,1,0,0,2.719598,10.033552
Nayan Sarasi Keno Bhoreche Jaale,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,1,0,0,2.7448301,9.543268
Jodi Hoi Chorkanta,bn,Bangla Film,Romantic Retro,Asha Bhosle|Kishore Kumar,1,0,0,3.1699708,9.216593
Mon-Majhi Re,bn,Bangla Folk,Folk-inspired Modern,R. D. Burman,1,0,0,3.607868,11.515039
Tare Ami Chokhe Dekhini,bn,Adhunik Bangla,Mystical Modern,Kishore Kumar,0,1,0,7.0430546,8.695333
Aamar Bhalobasar Rajprasade,bn,Adhunik Bangla,Romantic Modern,Manna Dey,0,1,0,4.9413967,10.9934025
Aaj Milan Tithir Purnima Chand,bn,Bangla Film,Romantic Retro,Kishore Kumar,1,1,0,4.2359147,11.413107
Jakhan Keu Amake Pagol Bale,bn,Adhunik Bangla,Philosophical Modern,Manna Dey,1,0,0,4.388574,11.558018
Coffee Houser Sei Addata Aaj Aar Nei,bn,Adhunik Bangla,Urban Nostalgia,Manna Dey,1,0,0,1.7905121,9.53695
Chokher Jaler Hoyna Kono Rang,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,1,0,0,2.5935316,7.9718328
Chirodini Tumi Je Aamar- Male,bn,Bangla Film,Romantic Film Ballad,Kishore Kumar,1,0,0,1.4340506,10.027899
Jani Tomar Premer Jogyo Ami To Noi,bn,Adhunik Bangla,Melancholic Modern,Manna Dey,0,0,0,3.9096658,7.0796313
Bandhagharer Andhakare,bn,Adhunik Bangla,Philosophical Modern,Asha Bhosle|Kishore Kumar,1,0,0,1.4021138,10.142234
O Chand Samle Rakho Jochhnake,bn,Adhunik Bangla,Romantic Modern,Manna Dey,0,1,0,5.288704,8.835289
Na Na Na Kachhe Esona,bn,Bangla Film,Playful Romantic,Asha Bhosle|S. P. Balasubrahmanyam,0,0,0,4.323992,10.606498
Sundari Go Dohai Dohai,bn,Bangla Film,Playful Folk-Film,Manna Dey,0,1,0,6.4454765,9.836738
Asha Chhilo Bhalobasa Chhilo,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,1,0,6.742545,10.048102
Hoyto Amake Karo Mone,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,0,1,0,5.571716,9.292288
Mone Porle,bn,Adhunik Bangla,Romantic Modern,Arijit Singh,0,1,0,4.6148868,11.371451
Gunjane Dole Je Bhramar,bn,Bangla Film,Romantic Duet,Asha Bhosle|Kishore Kumar,1,0,0,1.752675,7.31945
Phulkali Re Phulkali,bn,Bangla Film,Light Romantic,Asha Bhosle|Kishore Kumar,1,0,0,2.671093,10.328068
Keno Re Tui Chorli,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,1,0,6.772835,8.393874
"Rangini Kato Mon, Mon Dite Chay",bn,Adhunik Bangla,Romantic Modern,Manna Dey,0,1,0,8.031775,7.4736238
Bolchi Tomar Kane Kane- Female,bn,Bangla Film,Romantic Solo,Lata Mangeshkar,1,0,0,1.7006012,10.253309
Din Khon Mapa Ache,bn,Adhunik Bangla,Romantic Modern,Arijit Singh,1,0,0,2.972207,7.634211
Lalita Go Oke Aaj Chole Jete Bal Na,bn,Bangla Film,Emotional Retro,Manna Dey,1,1,0,4.2443643,9.15539
Prithibi Bodle Gechhe,bn,Adhunik Bangla,Philosophical Modern,Kishore Kumar,0,1,0,7.9463406,6.5153785
Ek Tanete Jemon Temon,bn,Bangla Folk,Folk-inspired Light,Kishore Kumar|Swapan Chakraborty,0,1,0,6.6309485,11.05527
Aaj Theke Aar Bhalobasar,bn,Adhunik Bangla,Breakup Modern,Kishore Kumar,0,1,0,8.574675,7.6741934
Hridayer Gaan Shikhe To Gaay Go Sabai,bn,Adhunik Bangla,Philosophical Modern,Manna Dey,0,1,0,8.747666,5.256506
E Gaane Prajapati (Stereo),bn,Bangla Film,Light Romantic,Sandhya Mukherjee,0,0,0,4.6856627,6.4851694
Chhero Na Chhero Na Haath,bn,Bangla Film,Romantic Duet,Kishore Kumar|Sabina Yasmeen,0,1,0,6.940297,10.302082
Ami Cheye Cheye Dekhi,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra,0,1,0,7.1186237,9.233079
Dole Dodul Dole Jhulana,bn,Bangla Film,Semi-Classical Film,Manabendra Mukherjee|Shyamal Mitra,0,0,0,5.356947,6.639969
Tomay Porechhe Mone,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,0,1,0,6.410205,8.444688
Mangaldeep Jwele (Part 1),bn,Devotional,Puja Spiritual,Lata Mangeshkar|Others,0,1,0,5.538572,11.110514
Shono Mon Boli Tomay,bn,Adhunik Bangla,Philosophical Modern,R. D. Burman,1,0,0,3.6704216,11.0473585
Tora Je Ja Bolish,bn,Rabindra Sangeet,Tagore Playful,Debabrata Biswas,0,1,0,6.8380036,9.566718
Chirodini Tumi Je Aamar- Female,bn,Bangla Film,Romantic Film Ballad,Asha Bhosle,1,0,0,1.3615617,10.392055
Aamar Swapna Je,bn,Bangla Film,Romantic Retro,Lata Mangeshkar|Kishore Kumar,1,0,0,1.5461043,9.941485
Ka Phonta Chokher Jal Phelechho,bn,Adhunik Bangla,Melancholic Modern,Manna Dey,1,0,0,4.0707917,9.972673
